objectid,Geographic ID,State FIPS,County FIPS,Census Tract,Total Population,Total Population for Income,Total Civilian Population,Total Households,Total Families,Total Over 5 Population,Total Over 75 Population,People of Color Population,Single-Parent Family Population,Limited English Proficiency Population,Low-Income Population,Disabled Population,Rent-Burdened Population,Zero-Vehicle Household Population,Percent Over 75,Percent People of Color,Percent Single-Parent Family,Percent Limited English Proficiency,Percent Low-Income,Percent Disabled,Percent Rent-Burdened,Percent Zero-Vehicle Household,Over 75 Reg Mean Plus Half SD,People of Color Reg Mean Plus Half SD,Single-Parent Family Reg Mean Plus Half SD,Limited English Proficiency Reg Mean Plus Half SD,Low-Income Reg Mean Plus Half SD,Disabled Reg Mean Plus Half SD,Rent-Burdened Reg Mean Plus Half SD,Zero-Vehicle Household Reg Mean Plus Half SD,PBA 2035 Equity Priority Community,PBA 2040 Equity Priority Community,PBA 2050 Equity Priority Community,Change PBA 2040 to 2050,Equity Priority Community Class,Shape__Area,Shape__Length
1669,06001407300,06,001,407300,2440,2420,2440,774,460,2346,68,2055,92,602,1377,187,246,110,0.0278688524590164,0.842213114754098,0.2,0.256606990622336,0.56900826446281,0.0766393442622951,0.317829457364341,0.142118863049096,0,1,1,1,1,0,1,0,1,1,1,0,Higher,0.000264471609625616,0.0859422772674617
1670,06001407400,06,001,407400,4399,4399,4399,1152,810,4032,103,4290,275,974,2325,570,187,211,0.0234144123664469,0.97522164128211,0.339506172839506,0.24156746031746,0.52852921118436,0.129574903387133,0.162326388888889,0.183159722222222,0,1,1,1,1,1,1,1,1,1,1,0,Highest,5.24206575391872E-05,0.0344963572173521
1671,06001407500,06,001,407500,4560,4499,4499,1327,871,4163,118,4280,307,854,3281,589,385,229,0.0258771929824561,0.93859649122807,0.352468427095293,0.205140523660822,0.729273171815959,0.130917981773727,0.290128108515448,0.172569706103994,0,1,1,1,1,1,1,1,1,1,1,0,Highest,5.04523518429778E-05,0.0333774207212534
1672,06001407600,06,001,407600,6606,6601,6601,2200,1506,6007,146,5747,355,656,2472,710,301,267,0.0221011201937632,0.869966696942174,0.235723771580345,0.109205926419178,0.374488713831238,0.107559460687775,0.136818181818182,0.121363636363636,0,1,1,0,1,0,0,0,1,1,1,0,Higher,0.000104821760032792,0.0505486824662368
1678,06001408200,06,001,408200,4455,4428,4455,1855,1012,4166,215,3525,381,171,1456,627,375,343,0.0482603815937149,0.791245791245791,0.376482213438735,0.0410465674507921,0.328816621499548,0.140740740740741,0.202156334231806,0.184905660377358,0,1,1,0,1,1,1,1,1,1,1,0,High,9.2460209998535E-05,0.0390618689053641
1680,06001408400,06,001,408400,3089,3084,3084,1169,662,2967,87,2811,285,303,1782,344,256,223,0.0281644545160246,0.910003237293623,0.430513595166163,0.102123356926188,0.577821011673152,0.111543450064851,0.218990590248075,0.190761334473909,0,1,1,0,1,0,1,1,1,1,1,0,Higher,5.51341850041354E-05,0.0308956612515524
1681,06001408500,06,001,408500,5997,5943,5992,1573,1194,5313,172,5832,379,1031,2889,563,377,258,0.0286810071702518,0.972486243121561,0.317420435510888,0.194052324487107,0.486118122160525,0.093958611481976,0.239669421487603,0.164017800381437,0,1,1,1,1,0,1,1,1,1,1,0,Highest,8.5062570633454E-05,0.0390656386167631
1682,06001408600,06,001,408600,6947,6919,6918,1851,1437,6189,213,6734,748,1030,3759,781,534,313,0.0306607168561969,0.969339283143803,0.520528879610299,0.166424301179512,0.543286602110131,0.11289389997109,0.288492706645057,0.169097784981091,0,1,1,1,1,0,1,1,1,1,1,0,Highest,0.000109065722881496,0.0525730511078363
1683,06001408700,06,001,408700,7628,7594,7622,2365,1551,6985,475,7215,341,996,3383,972,510,356,0.0622705820660724,0.945857367593078,0.219858156028369,0.142591267000716,0.44548327627074,0.127525583836263,0.215644820295983,0.150528541226216,0,1,1,1,1,1,1,1,1,1,1,0,Highest,0.000115923648991156,0.0505698361535222
1684,06001408800,06,001,408800,7054,6995,7054,2081,1375,6208,195,6695,576,1340,4658,952,409,658,0.0276438899914942,0.949106889707967,0.418909090909091,0.215850515463918,0.66590421729807,0.134958888573859,0.196540124939933,0.316194137433926,0,1,1,1,1,1,1,1,1,1,1,0,Highest,0.000123619687656173,0.0499710958929395
1685,06001408900,06,001,408900,3115,3115,3115,948,676,2792,180,3002,228,461,1767,434,220,232,0.057784911717496,0.963723916532905,0.337278106508876,0.165114613180516,0.567255216693419,0.139325842696629,0.232067510548523,0.244725738396624,0,1,1,1,1,1,1,1,1,1,1,0,Highest,8.16818624116422E-05,0.0463321348551534
1686,06001409000,06,001,409000,3904,3894,3904,1086,751,3473,151,3830,175,519,1621,446,188,67,0.0386782786885246,0.981045081967213,0.233022636484687,0.149438525770227,0.41628145865434,0.114241803278689,0.173112338858195,0.0616942909760589,0,1,1,1,1,0,1,0,1,1,1,0,Higher,0.00190094233494165,0.251816128886823
